B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,VV,VH,valid_pixel_count,plot_id,group_key,window_idx,tag,label,area_ha,source_file,anchor_date,date_start,date_end,state
0.048900000751018524,0.08020000159740448,0.07800000160932541,0.13830000162124634,0.2087000012397766,0.23739999532699585,0.2492000013589859,0.25459998846054077,0.2159000039100647,0.14890000224113464,0.05585154518485069,0.01613086462020874,51,neg_0200,neg__10.kml,0,2024_04_01,0,0.2984,10.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.06726253129950392,0.09849999845027924,0.1360500007867813,0.17419999837875366,0.2076999992132187,0.23430000245571136,0.24668000042438507,0.262800008058548,0.24729999899864197,0.18469999730587006,0.05602563545107842,0.014572139974269604,98,neg_0201,neg__11.kml,0,2024_04_01,0,0.6221,11.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.06859999895095825,0.10090000182390213,0.11140000075101852,0.14159999787807465,0.1542000025510788,0.16699999570846558,0.15039999783039093,0.1657000035047531,0.11559999734163284,0.0763000026345253,0.01825981146728385,0.0032157541718333973,105,neg_0202,neg__12.kml,0,2024_04_01,0,0.7225,12.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.0568000003695488,0.09160000085830688,0.1129237663986437,0.16459999978542328,0.20270000398159027,0.22531999945640563,0.24420000612735748,0.2572999894618988,0.2160000056028366,0.1542000025510788,0.09434849575469627,0.026133661771692886,138,neg_0203,neg__13.kml,0,2024_04_01,0,0.9519,13.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.06916371122384206,0.10130000114440918,0.1387999951839447,0.18449999392032623,0.2142126941683482,0.2379000037908554,0.25545544004135295,0.2740428717824112,0.24650000035762784,0.18379999697208405,0.06010386673733593,0.014201280863477236,179,neg_0204,neg__14.kml,0,2024_04_01,0,1.2881,14.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.06878486064924376,0.10360000282526016,0.146113460005991,0.1919718166104533,0.22669999301433563,0.25,0.2667999863624573,0.28315000236034393,0.26910001039505005,0.2004596317915941,0.06205851350965883,0.022210618994172687,326,neg_0205,neg__15.kml,0,2024_04_01,0,2.4809,15.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.08479999750852585,0.12240000069141388,0.16040000319480896,0.2046000063419342,0.23639999330043793,0.2549999952316284,0.27059999108314514,0.28839999437332153,0.2858000099658966,0.23240000009536743,0.09925778955221175,0.02071934565901756,57,neg_0206,neg__16.kml,0,2024_04_01,0,0.3303,16.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.07050000131130219,0.10840000212192535,0.15279999375343323,0.20059999823570251,0.23389999568462372,0.25529998540878296,0.2718000113964081,0.2922999858856201,0.2809999883174896,0.20890000462532043,0.11983487755060195,0.02566744573414326,69,neg_0207,neg__17.kml,0,2024_04_01,0,0.4387,17.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.10719999670982361,0.1451999992132187,0.19580000266432762,0.2231999933719635,0.26429998874664307,0.2906999886035919,0.3061999976634979,0.31779998540878296,0.3361000120639801,0.28290000557899475,0.03470857441425323,0.007367005998579162,75,neg_0208,neg__18.kml,0,2024_04_01,0,0.4731,18.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.10237108751320513,0.14127133057250846,0.16862770129699967,0.19339999556541443,0.22460000216960907,0.24330000579357147,0.24699999392032623,0.2606000006198883,0.32089999318122864,0.2939000129699707,0.03140875218362154,0.005305042639964712,81,neg_0209,neg__19.kml,0,2024_04_01,0,0.5209,19.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.02969999983906746,0.051100000739097595,0.05180000141263008,0.09080000221729279,0.18140000104904175,0.2102999985218048,0.2371000051498413,0.2379000037908554,0.1534000039100647,0.09690000116825104,0.06303779035806656,0.02105608582496643,48,neg_0210,neg__1_2_2026.kml,0,2024_04_01,0,0.2612,1_2_2026.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.03220000118017197,0.05719999969005585,0.06719999760389328,0.11159999668598175,0.17159999907016754,0.18629999458789825,0.19179999828338623,0.2175000011920929,0.17669999599456787,0.12309999763965607,0.05316419526934624,0.017094461247324933,29,neg_0211,neg__1_7_2023.kml,0,2024_04_01,0,0.1456,1_7_2023.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.05097401140279803,0.08369999875624974,0.08065000176429749,0.1429000049829483,0.23690000176429749,0.26409998536109924,0.2840000092983246,0.2831000089645386,0.255950003862381,0.18559999763965607,0.07087662742198302,0.018499376077670597,90,neg_0212,neg__20.kml,0,2024_04_01,0,0.5823,20.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.05620000138878822,0.0868000015616417,0.08919999748468399,0.14720000326633453,0.21559999883174896,0.24240000545978546,0.25040000677108765,0.25870001316070557,0.24079999327659607,0.17970000207424164,0.0975658819079399,0.02448638901114464,59,neg_0213,neg__21.kml,0,2024_04_01,0,0.344,21.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.07800000160932541,0.11800000071525574,0.1361505123450584,0.1664000004529953,0.16040000319480896,0.17839999496936798,0.16940000653266907,0.16439999639987946,0.09650000184774399,0.07329999655485153,0.015852490440011028,0.0015719473594799631,125,neg_0214,neg__22.kml,0,2024_04_01,0,0.8632,22.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.0737999975681305,0.1096000000834465,0.15559999644756317,0.20200000703334808,0.2459000051021576,0.27730000019073486,0.2897999882698059,0.3070000112056732,0.2669999897480011,0.1965000033378601,0.07124514132738115,0.011783048510551454,50,neg_0215,neg__23.kml,0,2024_04_01,0,0.2709,23.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.050700001418590546,0.07919999957084656,0.09960000216960907,0.14560000598430634,0.20020000636577606,0.2231999933719635,0.24040000140666962,0.25600001215934753,0.20970000326633453,0.14820000529289246,0.041669029742479324,0.006831293925642966,63,neg_0216,neg__24.kml,0,2024_04_01,0,0.3688,24.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.08190000057220459,0.11320000141859055,0.14880000054836273,0.1818999946117401,0.2029999941587448,0.23260000348091125,0.24199999868869781,0.25360000133514404,0.2597000002861023,0.2151000052690506,0.04348530620336533,0.007515456993132827,46,neg_0217,neg__25.kml,0,2024_04_01,0,0.2728,25.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.03134766274108183,0.06086668914980516,0.04527586559993975,0.10284285850468136,0.22158040928311631,0.25452502419505135,0.2679950065910816,0.27401700078888536,0.18080000579357147,0.10796936778031938,0.1298076096508238,0.029988151825136068,713,neg_0218,neg__26.kml,0,2024_04_01,0,5.7036,26.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.07346649151978069,0.10433280665294925,0.11306666831175487,0.14350000023841858,0.21459999680519104,0.23510000109672546,0.2457600027322769,0.25389999151229853,0.24251121577166876,0.186110487993742,0.05916305576055734,0.011634071853950002,167,neg_0219,neg__27.kml,0,2024_04_01,0,1.1761,27.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.03482499998062849,0.057408333445588745,0.04659114765082626,0.09650000184774399,0.2358500063419342,0.2888999879360199,0.304500013589859,0.3176499903202057,0.17489999532699585,0.10805000364780426,0.03537622839212417,0.013785689137876039,78,neg_0220,neg__28.kml,0,2024_04_01,0,0.5123,28.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.07954999804496765,0.11259999871253967,0.10420155452731054,0.15559999644756317,0.2937999963760376,0.3402000069618225,0.35664955981537305,0.35670000314712524,0.2345999926328659,0.18619999289512634,0.08744249492883681,0.023801956325769442,76,neg_0221,neg__29.kml,0,2024_04_01,0,0.4766,29.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.03703870161329038,0.06024999916553497,0.07689999788999557,0.11479999870061874,0.15960000455379486,0.18060000240802765,0.20319999754428864,0.2101999968290329,0.1981000006198883,0.1362999975681305,0.04218444505213283,0.009971854464429154,100,neg_0222,neg__2_7_2023.kml,0,2024_04_01,0,0.6495,2_7_2023.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.10279999971389771,0.1356000006198883,0.16334999725222588,0.18369999527931213,0.19789999723434448,0.2150000035762787,0.219508030629029,0.2312999963760376,0.2955000102519989,0.2822999954223633,0.04000393450945048,0.004207012398789327,100,neg_0223,neg__3.kml,0,2024_04_01,0,0.6814,3.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.03779999911785126,0.06499999761581421,0.07280000299215317,0.12630000710487366,0.18240000307559967,0.2076999992132187,0.21160000562667847,0.23389999568462372,0.21289999783039093,0.15489999949932098,0.06049424037337303,0.021725803613662727,69,neg_0224,neg__30.kml,0,2024_04_01,0,0.436,30.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.04989999905228615,0.08839999884366989,0.10300000011920929,0.16089999675750732,0.21070000529289246,0.23109999299049377,0.2513999938964844,0.2623000144958496,0.21660000085830688,0.15960000455379486,0.10997332632541654,0.026104278862476352,27,neg_0225,neg__31.kml,0,2024_04_01,0,0.1166,31.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.09130000323057175,0.12839999794960022,0.1785999983549118,0.21220000088214874,0.2328999936580658,0.2630000114440918,0.2797999978065491,0.2962000072002411,0.31060001254081726,0.2637999951839447,0.044289693236351006,0.010854430496692661,70,neg_0226,neg__32.kml,0,2024_04_01,0,0.4109,32.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.11460000276565552,0.15379999577999115,0.19220000505447388,0.22579999268054962,0.26170000433921814,0.2888000011444092,0.3034000098705292,0.31060001254081726,0.3440000116825104,0.30160000920295715,0.035234946757555,0.0038602303247898804,22,neg_0227,neg__33.kml,0,2024_04_01,0,0.0999,33.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.08399999886751175,0.12559999525547028,0.18799999356269836,0.22689999639987946,0.2587999999523163,0.28360000252723694,0.3059999942779541,0.3172999918460846,0.3073999881744385,0.22830000519752502,0.08712010830640793,0.019831631332635893,37,neg_0228,neg__34.kml,0,2024_04_01,0,0.2161,34.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.11559999734163284,0.16380000114440918,0.20659999549388885,0.22840000689029694,0.24320000410079956,0.26030001044273376,0.26899999380111694,0.27959999442100525,0.34060001373291016,0.31380000710487366,0.02907117456197739,0.005291159058156602,69,neg_0229,neg__35.kml,0,2024_04_01,0,0.4344,35.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.10580000281333923,0.1444000005722046,0.19419999420642853,0.23019999265670776,0.25029999017715454,0.2687000036239624,0.2897999882698059,0.28529998660087585,0.3172999918460846,0.2793999910354614,0.06741043925285341,0.007545943371951583,34,neg_0230,neg__36.kml,0,2024_04_01,0,0.1704,36.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.05939999967813492,0.09539999812841415,0.10480000078678131,0.131400004029274,0.12549999356269836,0.14110000431537628,0.12839999794960022,0.13379999995231628,0.06040000170469284,0.048500001430511475,0.017154294997453693,0.003386182477697729,65,neg_0231,neg__37.kml,0,2024_04_01,0,0.4233,37.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.04479999840259552,0.06530000269412994,0.0697999969124794,0.09690000116825104,0.1509999930858612,0.17030000686645508,0.17489999532699585,0.18209999799728394,0.16979999840259552,0.12800000607967377,0.09451693296432495,0.021491209045052535,55,neg_0232,neg__38.kml,0,2024_04_01,0,0.3433,38.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.0721533829556372,0.1094799980521202,0.13923706963684307,0.1906999945640564,0.23090000450611115,0.25351076807869183,0.26966846149239765,0.28450000286102295,0.25949999690055847,0.19599999487400055,0.08256390832719349,0.017805973067879673,135,neg_0233,neg__39.kml,0,2024_04_01,0,0.9209,39.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.09600000083446503,0.12880000472068787,0.16940000653266907,0.19509999454021454,0.21570000052452087,0.23680000007152557,0.25519999861717224,0.2667999863624573,0.2833000123500824,0.24420000612735748,0.039293099194765084,0.009896309114992622,39,neg_0234,neg__4.kml,0,2024_04_01,0,0.1986,4.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.07159999758005142,0.10660000145435333,0.12939999997615814,0.1768999993801117,0.2070000022649765,0.22269999980926514,0.21699999272823334,0.2475000023841858,0.27549999952316284,0.20960000157356262,0.07600235939025879,0.01727969385683537,64,neg_0235,neg__40.kml,0,2024_04_01,0,0.3924,40.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.09000000357627869,0.12160000205039978,0.16439999639987946,0.20100000500679016,0.22519999742507935,0.2515999972820282,0.2624000012874603,0.274399995803833,0.2833999991416931,0.24050000309944153,0.04491446912288665,0.013002474792301655,32,neg_0236,neg__5.kml,0,2024_04_01,0,0.1497,5.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.09570000320672989,0.14239999651908875,0.1736000031232834,0.19329999387264252,0.23319999873638153,0.25529998540878296,0.25679999589920044,0.2700999975204468,0.29980000853538513,0.2635999917984009,0.04413026943802833,0.005971324630081654,48,neg_0237,neg__6.kml,0,2024_04_01,0,0.2859,6.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.04520000144839287,0.07829999923706055,0.08219999819993973,0.14990000426769257,0.26159998774528503,0.30469998717308044,0.32679998874664307,0.3352999985218048,0.24199999868869781,0.18469999730587006,0.06811196357011796,0.018369589000940326,40,neg_0238,neg__7.kml,0,2024_04_01,0,0.2461,7.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.05860000103712082,0.08860000222921371,0.12160000205039978,0.17159999907016754,0.19869999587535858,0.22089999914169312,0.24300000071525574,0.2574000060558319,0.2513999938964844,0.19050000607967377,0.06514369696378708,0.02338230051100254,31,neg_0239,neg__8.kml,0,2024_04_01,0,0.1367,8.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.05988585657075289,0.09350000023841858,0.13269008636667295,0.17545000463724136,0.211899995803833,0.2402999997138977,0.2540000081062317,0.2720000147819519,0.24379999935626984,0.1770028846907927,0.06041371610055688,0.01843803251783054,167,neg_0240,neg__9.kml,0,2024_04_01,0,1.1822,9.kml,2024-09-01,2024-04-01,2025-02-01,Uttar Pradesh
0.10610000044107437,0.1501999944448471,0.2355333318312963,0.28610000014305115,0.31460000574588776,0.3506999909877777,0.3753148900262964,0.41003334522247314,0.46399998664855957,0.33719998598098755,0.07852504272234989,0.011282078958219319,128,neg_0241,neg__banana_10_oct2025.kml,0,2024_04_01,0,1.0113,banana_10_oct2025.kml,2025-10-01,2025-05-01,2026-03-01,Andhra Pradesh
0.07750459460326158,0.11165714051042284,0.16869986379099763,0.20073964556998755,0.22202000319957732,0.24220000207424164,0.24249999970197678,0.26607561365860266,0.375900000333786,0.3189479745118436,0.0675159268814357,0.008254498010501267,233,neg_0242,neg__banana_11_oct2025.kml,0,2024_04_01,0,1.8929,banana_11_oct2025.kml,2025-10-01,2025-05-01,2026-03-01,Karnataka
0.07919999957084657,0.10920000076293945,0.1617287250637646,0.18870000541210175,0.2062000036239624,0.22470000386238098,0.2280000001192093,0.24476666748523712,0.3489999920129776,0.295199990272522,0.09590227529406548,0.013810280322407678,152,neg_0243,neg__banana_12_oct2025.kml,0,2024_04_01,0,1.1705,banana_12_oct2025.kml,2025-10-01,2025-05-01,2026-03-01,Karnataka
0.08360384576595747,0.10819999873638153,0.15480000229273103,0.17984435942154448,0.19181885196526496,0.21495000272989273,0.22580000013113022,0.2431688944498698,0.38552501052618027,0.31915000081062317,0.04870273307599919,0.004550933372229338,142,neg_0244,neg__banana_13_oct2025.kml,0,2024_04_01,0,1.123,banana_13_oct2025.kml,2025-10-01,2025-05-01,2026-03-01,Karnataka
